Autor,Fecha,Hora,nrolikes,nrodislikes,nroComentarios,texto
Anónimo,"April 24, 2023",7:40 a.m.,16,2,59,Confieso que soy un joven de 26 años y soy virgen. Tengo fobia de contraer alguna enfermedad de transmisión sexual.
Anónimo,"April 16, 2023",1:43 p.m.,1,4,22,"Hola a todos. Esto no es una confesión pero les va a interesar.Yo ofrezco servicios de asesoría para estudiar en Alemania una maestría. Yo ya estoy estudiando aquí una maestría en inglés. Si estás interesado, envíame un correo a cesarnavarretea99@gmail.com"
Anónimo,"April 14, 2023",10:24 p.m.,2,0,22,🌻Para la chica que nos dió clase de acuarela el semestre pasado en fadcom 
Anónimo,"April 3, 2023",7:09 p.m.,10,0,43,🔞
Anónimo,"March 25, 2023",8:23 p.m.,2,0,97,"#55502Creo que no entienden que el estudio y el lugar de estudio solo intentan reducir la incertidumbre en tu vida. No te garantizan el éxito.La única razón por la que pagaría en la universidad que se ""cae"" es por su colocación de graduados en empresas multinacionales (no es coincidencia).Deben tener dos cosas en claro:Tu futuro depende de tus decisiones y de todo el capital generacional que tengas (padres con mejores ingresos y estudios influyen en tu éxito).Mejores promedios, mejores habilidades para relacionares, mayor dominio en su rama de estudio (el 99.9% de las veces no es ninguno de los mejores promedios) tendrán más y mejores oportunidades que el resto y está bien. Siempre existirá, el que sin ser parte del grupo previamente mencionado tuvo suerte, se cruzó con una oportunidad, no la desaprovecho y termina en una buena posición (mis asistentes de investigación en cada una de las facultades saben de lo que hablo)El cartón del senescyt está sobrevalorado gracias a la incompetencia del personal de Recursos Humanos local y de eso te das cuenta cuando participas en procesos de selección con empresas del extranjero.Si solo cuentas con el título pues es normal que te quieran pagar $500 porque no logras nada con una experiencia de pasante o sabiendo excel intermedio. Cada cargo requiere experiencia y habilidades que como ser humano racional debes aprender por tu propia cuenta (como vas a confiarle estar preparado a gente que no topa el mercado laboral desde su escritorio).Recuerdo claramente una de mis entrevistas para cambiar de trabajo. Yo venía desde pasante y ganaba ~600 con tres años de experiencia, sin maestría, decenas de libros leídos y practicados para mejorar mis habilidades y conocimientos, 3 cursos top con programas de universidades top 5, ahorrandoles a la empresa miles de dolares en gastos y generando decenas de miles de dolares en ingresos usando esos concimientos (era una empresa pequeña). La persona de RRHH de la empresa contratante (top 3 en su actividad) me dijo de frente ""cuando el gerente te pregunte por el sueldo, dile 1500"" haya por el 2018. Yo con 22 años me quedé sin palabras, al entender que todo lo que podía hacer valía más de lo que me pagaban o ganaban mis amigos.Si no eres el mejor, debes prepararte más y no bajar los brazos y por sobre todo nunca conformarte. Otra es aprender a lidiar con el rechazo. Una vez no me contrataron porque sabía más que el personaje que iban a ascender (y a mi me tocaba ocupar su puesto) o porque por mi personalidad (educadamente) expliqué al gerente (y tiene podcast para rematar) que su proyecto que orgullosamente usaba para decirme lo que buscaba (si les contara) estaba mal estructurado y era un juego de niños para lo que yo podía hacer en aquel entonces."
Anónimo,"March 24, 2023",4:34 a.m.,0,0,79,"Había un par de gemelas, Katiuska y Romina. Yo solía ir a inglés con una de ellas, me gustaba pero nunca le dije nada jaja, sin embargo, cuando conocí a su hermana, a pesar de ser gemelas, me gustaba más todavía, y claro, como soy tímido, nunca dije nada xD. Cuando llegó la pandemia me dije, ""cuando vuelva debo hacer algo al respecto, no puedo seguir disimulando""... Pero luego por motivos random me tuve que venir a vivir a españa y nunca ni siquiera le dirigí la palabra a su hermana, es decir, nunca siquiera supo mi nombre diría yo jaja. Ahora la que me gustaba primero tiene un hijo y la que me terminó robando en cora esta libre. Siempre me arrepentiré de no haberle dicho nada."
Anónimo,"March 18, 2023",10:05 p.m.,1,0,83,"No soy de la Espol. Pero me enamoré de uno de sus docentes y director más joven de su U. Eramos amigos durante muchos años, a veces coqueteabamos pero nunca pasó nada, en un punto le robé un beso porque me atraía bastante, pero después de ese beso no lo vi durante mucho tiempo, entonces, llegó pandemia y nos volvimos a encontrar, rompimos muchos límites y tontamente me enamoré de él, pero él no de mí. En fin, la última vez que nos vimos hicimos tantas promesas, aunque yo siempre supe que era nuestra despedida, nos mudabamos lejos. Pues bueno, obviamente las promesas no se cumplieron, nosotros dejamos de hablar, cada uno tiene su vida. Y yo estoy aquí arrepentida de haber cruzado esos límites, perdí un gran amigo, perdí al hombre que admiré durante años, y desperdicie mi cariño. Moraleja : Si tienen a alguien que admiran y que es su amigo, nunca pero nunca crucen los límites porque es muy difícil superar a ese tipo de personas. "
Anónimo,"March 18, 2023",5:06 p.m.,2,0,10,"Saben creo que me falla mi lesbiradar porque no sé cómo identificarnos dentro de la u, a veces quisiera coquetear con alguna chica pero no quisiera llegar a incomodarla , ya sé que usar tinder y esas cosas es lo más recomendable pero no podríamos conocernos como cualquier otra pareja dentro de la u? 🫠"
Anónimo,"March 17, 2023",5:01 p.m.,0,0,81,Me sorprende la cantidad de infieles que hay en la universidad y no sienten ninguna culpa cuando se van a comer a otra pelada teniendo a sus novias en otro Cantón o provincia 🤫
Anónimo,"March 17, 2023",1:05 p.m.,1,0,10,Hace no mucho empecé a ir al gym de estudiantes y conocí a varias personas.So.. tengo un gym crush.Al inicio creí que yo le gustaba pero ya no me presta atención y le he escrito algunas veces pero no quiero ser intensa :c 💔Por qué son así? :CTodos los días estoy pendiente a ver si llega y me da coraje conmigo misma jajaja.
Anónimo,"March 13, 2023",9:40 p.m.,0,0,78,"Me gustaría hacer amigos con estudiantes de diseño de producto, me parece por algún interesante al ver la malla."
Anónimo,"March 7, 2023",2:23 a.m.,0,0,37,arreglen
Anónimo,"March 5, 2023",3:42 a.m.,0,0,87,:v 999 666
Anónimo,"March 3, 2023",7:23 p.m.,0,0,66,"Saludos, algún consejo o recomendación, soy graduado y pues estoy en búsqueda de empleo desde hace ya buen tiempo, el problema es que me falta experiencia profesional y pues la mayoría de empresas solo piden gente con 2, 3, 4... años de experiencia o pasantes (con carta de la universidad para no pagarles) , ni un puesto de practicante o algo para ir agarrando experiencia :(En fin, de antemano les agradezco sus consejos y que tengan lindas vacaciones. Pdta. nunca les hagan caso a sus consejeros académicos, agarren pocas materias y busquense un trabajito de medio tiempo, aprovechen que hay pasantias por toneladas aunque si hay roedores que te van a decir que las pasantias no cuentan como experiencia profesional."
Anónimo,"March 3, 2023",7:21 p.m.,1,0,51,"No entiendo porqué ya siendo Viernes no suben las notas del examen del Lunes, ya quiero saber si pasé o no pasé, ya quiero estar en paz, disfrutar de mis vacaciones, y si me quedé bueno, trabajar para pagar la matrícula pero ya pues, deberían subir las notas, acaben con mi agonía."
Anónimo,"March 2, 2023",2:23 a.m.,1,0,36,"Hola quiero confesar que ya iba para 5to semestre en la espol pero estoy pensando en botarme (casi segur@), lo he pensado mucho porque hice buenas amistades de diferentes carreras, vacile, fui a fiestas, pero sentia un vacío con mi carrera, me frustraba ver cómo mis demás compañeros de las carreras les iba mejor o entendían más porque a ellos les gustaba, me di cuenta que a mi no me motivaba lo que seguía, el anterior semestre fue de prueba para ver lo que sentía, justo al finalizar el semestre conoci a una chica super linda y humor como el mio, estuve a punto de seguir con mi ciclo vicioso de la carrera por ella, para verla, pero gracias a que me ghosteaste un buen rato, abri los ojos de que no hacia lo correcto por mi, todavia me gustas guapa pero me la saco, espero igual tengamos oportunidad, buscare oportunidades en el exterior, ya que latam vale verg, suerte a todos, todas mienten "
Anónimo,"Feb. 27, 2023",1:15 p.m.,0,0,24,"Mi novia tiene la galleta rancia :'v , como se lo digo ? :'v"
Anónimo,"Feb. 27, 2023",1:14 p.m.,0,0,26,:v
Anónimo,"Feb. 26, 2023",1:18 p.m.,4,0,94,"Estos novatos que se desesperan por entrar a la Espol , mejor eligan otra universidad o instituto tecnologico que les permitan estudiar en la noche , ya que de esta forma podran ir adquiriendo experiencia laboral hasta culminar la carrera , ya que la experiencia es lo mas importante a la hora de encontrar empleo , pilas :v"
Anónimo,"Feb. 25, 2023",9:16 p.m.,4,0,19,"Mi  confesión es  que  perdí  la  virginidad  a  los  11  años  no se   si  decir  que  fue  lo  mejor  o lo  peor  que  me  halla  pasado  la  cosa  es  que   yo   tengo unos  amigos  que  los  vamos  a  llamar  G,S  y  T   bueno  era  un  día  normal como  cualquier  otro  yo estaba  jugando  con  ellos  y  de  la  nada  me  digieron  para  ir  a  hacer  el  frutifantastico  y  yo acepte  al principio no  me  gusto  pero luego  me gusto  mas  de  lo  normal  ahora   lo  quiero  volver  a intentarlo,  y  todo  esto  me   paso  ayer XD   "
Anónimo,"Feb. 21, 2023",9:17 p.m.,1,0,75,"Confieso que S. M. es la niña más bonita de Ingeniería química, espero que te vaya super bien en todo lo que hagas y emprendas en estas vacaciones.... atte. tu fiel admirador que te quiere mucho  :) "
Anónimo,"Feb. 20, 2023",9:41 p.m.,0,0,5,"No entiendo porqué ya siendo Lunes de Feriado, no suben las notas del examen del Lunes pasado, ya quiero saber si pasé o no pasé, ya quiero estar en paz, disfrutar de mis vacaciones, y si me quedé bueno, trabajar para pagar la matrícula pero ya pues, deberían subir las notas, acaben con mi agonía."
Anónimo,"Feb. 18, 2023",1:54 p.m.,0,0,27,"Confieso que tengo un duda existencial. Lo que pasa es que en el W&T 2022 tuve relaciones con la novia de un amigo, y habíamos acordado que todo iba a quedar como ""aventura"". Creo que por el remordimiento ya no habló mucho con ese panita, y prácticamente solo nos saludamos. Ha pasado un año y nadie se ha dado cuenta. También durante ese tiempo conseguí una novia, a la cual le conté lo que pasó antes de empezar nuestra relación, ya que para mi es alguien tan especial que debía saber esa verdad. Fue esperada su mala reacción  ya que mi novia es amiga de ellos por lo que se enojó un chance, pero le dije que estaba soltero... que fue error... que no pasara nuevamente (nunca más), y también la convencí de no decir nada, y que todos seamos felices. Bueno, pasando a la actualidad, nuevamente estoy de W&T pero con mi novia. Y además esta la otra chica con su novio de siempre. No hemos tenido problemas, nuestra amistad aún está ahí. Sin embargo, también me topé con unos amigos con los que compartí casa en el anterior W&T y entre conversa y conversa soltaron que en ese entonces si me vieron besar con esa chica y que estaban seguros de que hicimos más cosas. Pero así mismo les dije no digan nada, no quiero problemas, dejenlos así como están. Y me dijeron que estoy equivocado, que tenía que decirle al chico, y que quién sabe si ella cometerá el mismo error con otro chico.Después de eso, estuve pensando mucho ya que ellos lo saben (y a quien más le habrán contado), mi novia lo sabe que es muy amiga de ellos. Y me estoy preguntando mucho si esto es justo para ese chico. No sé díganme que opinan."
Anónimo,"Feb. 16, 2023",8:28 p.m.,1,0,28,"Me fui a tercera matrícula, no sé cómo decírselo a mis padres y peor aún no sé cómo empezar el trámite ¿algún consejo, aparte de cambiarme a la Estatal?"
Anónimo,"Feb. 16, 2023",6:45 p.m.,0,0,1,"Caminando en la escuela el va camino a clase y de pronto ahí está ella, se topan de frente, esta vez ella no se voltea para evitarlo, él se llena de valor y dice:El: 	Hola, buen día. Ella:	 Hola, buen día.El: 	Disculpa, ¿Tienes dos minutos?Ella: 	Lo siento ya voy tarde, no puedo.El: 	Por favor, prometo ser breve.Ella: 	(Haciendo una pequeña mueca, le mira y dice): está bien, sé breve por favor.El: 	¿Si nos recargamos acá? Pregunto señalando la barandilla del puente.Ella: 	me mira y girando los ojos al lugar que señalo y acepta, encaminándose al lugar. Se recarga mirándole a los ojos y aunque a él  le encantaba ver su relejo en sus ojos, estos ni su semblante tienen aquel brillo que solían tener al verle, eso a él lo entristece un poco e impide que la pueda seguir viendo, por lo que se adelanta poniéndome a su lado y viendo hacia afuera del pasillo.El: 	Gracias por la oportunidad de escucharme, seré breve. Si no sabes o no quieres decir nada, lo entenderé, y si decides o no disculparme pues estas en todo tu derecho y lo acepto.Ella: 	Dime, te escucho.El: 	Antes que nada quiero pedirte una disculpa por haber sido muy grosero contigo, la verdad no te lo merecías siempre he pensado que eres una mujer hermosa, inteligente y en pocas palabras maravillosa  y te pido disculpas por mi comportamiento hacia ti, segundo quiero que sepas que no soy una persona común y por lo mismo quiero pedirte disculpas por mal interpretar tus intenciones para conmigo, la verdad me estaba encariñando y entiendo que somos incompatibles en muchos aspectos, la verdad no sé qué paso y poco a poco empezaste meterte en mis pensamientos y después en mis emociones, sin embargo soy un hombre mucho mayor que tú y casado, por lo que no me podía permitir sentir lo que empezaba a crecer dentro de mí, por eso tuve que poner distancia para apagar mis sentimientos hacia ti. Ahora en verdad lo lamento y te pido por favor no me guardes rencor.De mi parte, te prometo no volver a molestarte, Gracias por la oportunidad de permitir expresar mi sentir.El: 	(Acto seguido, hace una reverencia y dice:) Bonita tarde.Ella:  	(Asienta con la cabeza y se queda unos instantes pensativa y dice:) Bonita tarde para ti también, con permiso y se retira.Aunque no sabemos lo que pasa por su cabeza y desconocemos si a cazo ella considerará aceptar sus disculpas o no, El agradece infinitamente la oportunidad que ella le brindo de expresado su sentir.Ya el tiempo dirá si ellos volverán a coincidir en el futuro o no, eso por ahora nadie lo puede saber."
Anónimo,"Feb. 14, 2023",10:34 a.m.,0,0,30,Pilas con esas confesiones de Wisconsin 😊
Anónimo,"Feb. 13, 2023",5:03 p.m.,1,0,89,"Saludos, algún consejo o recomendación, soy graduado y pues estoy en búsqueda de empleo desde hace ya buen tiempo, el problema es que me falta experiencia profesional y pues la mayoría de empresas solo piden gente con 2, 3, 4... años de experiencia o pasantes (con carta de la universidad para no pagarles) , ni un puesto de practicante o algo para ir agarrando experiencia 🤧☹️En fin, de antemano les agradezco sus consejos y que tengan lindas vacaciones mi gente politécnica con grandes sorpresas en el próximo termino académico Pdta. A los novatos y quiénes tienen más tiempo estudiando ahí, nunca les hagan caso a sus consejeros académicos, agarren pocas materias y busquense un trabajito de medio tiempo, aprovechen que hay pasantias por toneladas aunque si hay roedores que te van a decir que las pasantias no cuentan como experiencia profesional."
Anónimo,"Feb. 12, 2023",8:19 p.m.,2,0,59,"Para el que dirije esta vaina de confesionesPana, esto de que retengas todas las confesiones está muy mal administrado. Sólo funciona si tienes al menos un día a la semana para ponerte a revisar y eliminar todo. Nos dejas a todos con las ganas de revisar lo que la gente comenta.¿De verdad no se te hace más fácil sólo borrar las confesiones incorrectas y ya? Muchas cosas han ocurrido en estas últimas 3 semanas. Apura y trabaja o cede el trabajo a alguien más."
Anónimo,"Feb. 10, 2023",12:04 a.m.,0,0,56,"Dicen que algunos estudiantes pasaron directamente a primer semestre por venir de ""ciertos colegios B.I"" mientras que la mayoría deba rendir muchas pruebas para ingresar a la Espol. Ojalá no sea cierto porque no me parece justo."
Anónimo,"Feb. 7, 2023",9:53 p.m.,2,0,15,"Para el que dirije esta vaina de confesionesPana, esto de que retengas todas las confesiones está mal administrado. Sólo funciona si tienes al menos un día a la semana para ponerte a revisar y eliminar todo. Nos dejas a todos con las ganas de revisar lo que la gente comenta.¿De verdad no se te hace más fácil sólo borrar las confesiones incorrectas y ya? Muchas cosas han ocurrido en estas últimas 3 semanas. Apura y trabaja o cede el trabajo a alguien más."
Anónimo,"Feb. 6, 2023",7:22 a.m.,0,0,96,"Saludos, algún consejo o recomendación, soy graduado y pues estoy en búsqueda de empleo desde hace ya full tiempo, el problema es que me falta experiencia profesional y pues la mayoría de empresas solo piden gente con 2, 3, 4... años de experiencia o pasantes (con carta de la universidad para no pagarles) , ni un puesto de practicante o algo para ir agarrando experiencia :(. En fin, de antemano les agradezco sus consejos y que tengan lindas vacaciones. Pdta. nunca les hagan caso a sus consejeros académicos, agarren pocas materias y busquense un trabajito de medio tiempo, aprovechen que hay pasantias por toneladas aunque si hay roedores que te van a decir que las pasantias no cuentan como experiencia profesional."
Anónimo,"Feb. 5, 2023",5:07 p.m.,0,0,8,DÓNDE ESTÁS ADMIN!
Anónimo,"Feb. 5, 2023",7:24 a.m.,0,0,51,"ya los veré a todos esos pndej0s q apoyaron el ""si"" de la consulta popular en unos meses, se van a meter sus palabras por la cavidad anaI, ahí si se quejaran con gusto de la ""crisis"" que vive gilasso"
Anónimo,"Feb. 4, 2023",6:22 p.m.,0,0,61,"quiero confesar que me gusta una chica muy hermosa de la FIEC, es muy linda amable y estudiosa <3 <3 <3 <3   vivo enamorado de ella <3 <3 <3<3<3 es la mejor  "
Anónimo,"Feb. 3, 2023",7:27 p.m.,0,0,98,"Confieso que me da mucha nostalgia porque ya se va a terminar el semestre aunque faltan mejoramiento y presentaciones pendientes, si con las vacaciones de navidad y fin de año no aguanté estar tanto tiempo en mi casa, no sé como haré hasta mayo que regresamos. Pd. No crean que no pienso trabajar en vacaciones."
